good_key,product_group,cn_code,goods_description
72071919-semi-finished-products-of-iron-or-non-al,Iron and steel,7207 19 19,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of circular or polygonal cross-section, forged"
72071980-semi-finished-products-of-iron-or-non-al,Iron and steel,7207 19 80,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon (excl. semi-products, of square, rectangular, circular or polygonal cross-section)"
72072011-semi-finished-products-of-non-alloy-free,Iron and steel,7207 20 11,"Semi-finished products, of non-alloy free-cutting steel, containing by weight >= 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting"
72072015-semi-finished-products-of-iron-or-non-al,Iron and steel,7207 20 15,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% but < 0,6% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting (excl. free-cutting steel)"
72072017-semi-finished-products-of-iron-or-non-al,Iron and steel,7207 20 17,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,6% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting (excl. free-cutting steel)"
72072019-semi-finished-products-of-iron-or-non-al,Iron and steel,7207 20 19,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness, forged"
72072032-semi-finished-products-of-iron-or-non-al,Iron and steel,7207 20 32,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25 of carbon, of rectangular ""other than square"" cross-section, the width measuring >= twice the thickness, rolled or obtained by continuous casting"
72072039-semi-finished-products-of-iron-or-non-al,Iron and steel,7207 20 39,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% carbon, of rectangular ""other than square"" cross-section and the width >= twice the thickness, forged"
72072052-semi-finished-products-of-iron-or-non-al,Iron and steel,7207 20 52,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% carbon, of circular or polygonal cross-section, rolled or obtained by continuous casting"
72072059-semi-finished-products-of-iron-or-non-al,Iron and steel,7207 20 59,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,6% carbon, of circular or polygonal cross-section, forged"
72072080-semi-finished-products-of-iron-or-non-al,Iron and steel,7207 20 80,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% carbon (excl. those of square, rectangular, circular or polygonal cross-section)"
7208-flat-rolled-products-of-iron-or-non-allo,Iron and steel,7208,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled, not clad, plated or coated"
7209-flat-rolled-products-of-iron-or-non-allo,Iron and steel,7209,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, cold-rolled ""cold-reduced"", not clad, plated or coated"
7210-flat-rolled-products-of-iron-or-non-allo,Iron and steel,7210,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"", clad, plated or coated"
